# Übersetzungstabelle des Spiels.
# Format:  "<deutscher Quelltext>","<englisch>","<spanisch>","<französisch>"
# Deutsch ist die Quellsprache (= Fallback) und steht direkt im Code – darum gibt es
# hier nur die Zielsprachen en/es/fr. Geladen zur Laufzeit von scripts/Localization.gd.
# Fehlt eine es/fr-Zelle, greift automatisch der Fallback (Englisch).
# Zeilen, die mit # beginnen, sind Kommentare. \n im Text = Zeilenumbruch.
key,en,es,fr
"Schaltet unnötige Animationen ab, damit das Spiel flüssiger läuft (aktuell den animierten Prestige-Balken).","Disables unnecessary animations for smoother gameplay (currently the animated prestige bar).","Desactiva animaciones innecesarias para que el juego vaya más fluido (actualmente la barra de prestigio animada).","Désactive les animations superflues pour un jeu plus fluide (actuellement la barre de prestige animée)."
"1080 × 1920  (Hochformat)","1080 × 1920  (Portrait)","1080 × 1920  (Vertical)","1080 × 1920  (Portrait)"
"720 × 1280  (Hochformat)","720 × 1280  (Portrait)","720 × 1280  (Vertical)","720 × 1280  (Portrait)"
"Name / Discord ID (Optional)","Name / Discord ID (optional)","Nombre / ID de Discord (opcional)","Nom / ID Discord (facultatif)"
"Verdoppelt dein Geld, +1 Mrd. Geld, +100 %s, +1000 %s","Doubles your money, +1 bil. money, +100 %s, +1000 %s","Duplica tu dinero, +1 mil mill. de dinero, +100 %s, +1000 %s","Double ton argent, +1 mrd d'argent, +100 %s, +1000 %s"

# ── Werkstatt: Auto-Aufstieg ──────────────────────────────────────────────────
"Auto-Aufstieg","Car ascension","Ascenso del coche","Ascension de la voiture"
"Auto upgraden","Upgrade car","Mejorar coche","Améliorer la voiture"
"Upgraden","Upgrade","Mejorar","Améliorer"
"AUTO UPGRADEN?","UPGRADE CAR?","¿MEJORAR COCHE?","AMÉLIORER LA VOITURE ?"
"Dein Auto wird zu %s aufgewertet (Stufe %d).\n\nGeld, Upgrades, Teile UND der Prestige-Baum\nwerden komplett zurückgesetzt. Danach fährt nur\nnoch dieses Auto, du erhältst ×%d %s pro Prestige\nund jedes Prestige schaltet %d Baum-Knoten frei.","Your car is upgraded to %s (level %d).\n\nMoney, upgrades, parts AND the prestige tree\nare fully reset. Afterwards only\nthis car drives, you get ×%d %s per prestige\nand each prestige unlocks %d tree nodes.","Tu coche se mejora a %s (nivel %d).\n\nDinero, mejoras, piezas Y el árbol de prestigio\nse reinician por completo. Después solo circula\neste coche, obtienes ×%d %s por prestigio\ny cada prestigio desbloquea %d nodos del árbol.","Ta voiture est améliorée en %s (niveau %d).\n\nL'argent, les améliorations, les pièces ET l'arbre de prestige\nsont entièrement réinitialisés. Ensuite, seule\ncette voiture roule, tu obtiens ×%d %s par prestige\net chaque prestige débloque %d nœuds de l'arbre."
"Du erhältst %s %s.\n\nGeld, Upgrades, freigeschaltete Teile und ALLE\nStrecken werden zurückgesetzt. Prestige-Boni bleiben.","You get %s %s.\n\nMoney, upgrades, unlocked parts and ALL\ntracks are reset. Prestige bonuses remain.","Obtienes %s %s.\n\nEl dinero, las mejoras, las piezas desbloqueadas y TODAS\nlas pistas se reinician. Los bonos de prestigio permanecen.","Tu obtiens %s %s.\n\nL'argent, les améliorations, les pièces débloquées et TOUS\nles circuits sont réinitialisés. Les bonus de prestige restent."
"AUTO 2 (KOMBINATION)","CAR 2 (COMBINATION)","COCHE 2 (COMBINACIÓN)","VOITURE 2 (COMBINAISON)"
"Aktuelles Auto: %s (Stufe %d)","Current car: %s (level %d)","Coche actual: %s (nivel %d)","Voiture actuelle : %s (niveau %d)"
"%d Autos → 1 Super-Auto  ·  Tempo ≥%d nötig  ·  +%s/Feld · Tempo ÷%d","%d cars → 1 super car  ·  speed ≥%d required  ·  +%s/tile · speed ÷%d","%d coches → 1 supercoche  ·  velocidad ≥%d necesaria  ·  +%s/casilla · velocidad ÷%d","%d voitures → 1 super-voiture  ·  vitesse ≥%d requise  ·  +%s/case · vitesse ÷%d"

# ── Garage: Unter-Tabs, Test-Auto, Kosmetik-Kauf ──────────────────────────────
"Muster","Pattern","Patrón","Motif"
"Test-Auto","Test car","Coche de prueba","Voiture de test"
"AN","ON","ACTIVADO","ACTIVÉ"
"AUS","OFF","DESACTIVADO","DÉSACTIVÉ"
"Lackierung: %s  ·  Muster: %s","Paint: %s  ·  Pattern: %s","Pintura: %s  ·  Patrón: %s","Peinture : %s  ·  Motif : %s"
"Muster-Farbe","Pattern color","Color del patrón","Couleur du motif"
"KAUFEN?","BUY?","¿COMPRAR?","ACHETER ?"
"Kaufen","Buy","Comprar","Acheter"
"%s – kaufen für %d Trophäen","%s – buy for %d trophies","%s – comprar por %d copas","%s – acheter pour %d trophées"
"[center]Möchten Sie %s ""%s"" für [color=#%s]%d %s[/color] kaufen?","[center]Do you want to buy %s ""%s"" for [color=#%s]%d %s[/color]?","[center]¿Quieres comprar %s ""%s"" por [color=#%s]%d %s[/color]?","[center]Veux-tu acheter %s ""%s"" pour [color=#%s]%d %s[/color] ?"
"[color=#%s]Dir fehlen %d %s.[/color]","[color=#%s]You're short %d %s.[/color]","[color=#%s]Te faltan %d %s.[/color]","[color=#%s]Il te manque %d %s.[/color]"

# ── Muster-Namen ──────────────────────────────────────────────────────────────
"Keins","None","Ninguno","Aucun"
"Streifen","Stripes","Rayas","Rayures"
"Diagonal","Diagonal","Diagonal","Diagonale"
"Karo","Checker","Cuadros","Damier"
"Punkte","Dots","Puntos","Pois"
"Verlauf","Gradient","Degradado","Dégradé"

# ── Lack-Namen (Garage) ───────────────────────────────────────────────────────
"Original","Original","Original","Original"
"Rot","Red","Rojo","Rouge"
"Dunkelrot","Dark red","Rojo oscuro","Rouge foncé"
"Orange","Orange","Naranja","Orange"
"Bernstein","Amber","Ámbar","Ambre"
"Limette","Lime","Lima","Citron vert"
"Smaragd","Emerald","Esmeralda","Émeraude"
"Cyan","Cyan","Cian","Cyan"
"Hellblau","Light blue","Azul claro","Bleu clair"
"Marine","Navy","Azul marino","Bleu marine"
"Violett","Violet","Violeta","Violet"
"Lila","Purple","Morado","Pourpre"
"Magenta","Magenta","Magenta","Magenta"
"Pink","Pink","Fucsia","Rose"
"Rosa","Rose","Rosa","Rose pâle"
"Braun","Brown","Marrón","Marron"
"Sand","Sand","Arena","Sable"
"Grau","Gray","Gris","Gris"
"Anthrazit","Anthracite","Antracita","Anthracite"
"Schwarz","Black","Negro","Noir"
"Gold","Gold","Oro","Or"

# ── Erfolge: Einsammeln ───────────────────────────────────────────────────────
"Eingesammelt","Collected","Recogido","Récupéré"
"Einsammeln   +%d %s","Collect   +%d %s","Recoger   +%d %s","Récupérer   +%d %s"

# ── Erfolge: Geheime Erfolge ──────────────────────────────────────────────────
"GEHEIME ERFOLGE","SECRET ACHIEVEMENTS","LOGROS SECRETOS","SUCCÈS SECRETS"
"Geheimer Erfolg – schalte ihn frei, um ihn zu enthüllen.","Secret achievement – unlock it to reveal it.","Logro secreto: desbloquéalo para revelarlo.","Succès secret – débloque-le pour le révéler."

# ── Prestige-Tab ──────────────────────────────────────────────────────────────
"%d Prestiges durchgeführt","%d prestiges performed","%d prestigios realizados","%d prestiges effectués"

# ── Shop-/Prestige-Karten: Stufen & Erfolgs-Status ────────────────────────────
"Freigeschaltet","Unlocked","Desbloqueado","Débloqué"
"Gesperrt","Locked","Bloqueado","Verrouillé"
" Stufe %d  ·  %s %s"," Level %d  ·  %s %s"," Nivel %d  ·  %s %s"," Niveau %d  ·  %s %s"
"Stufe %d / %d","Level %d / %d","Nivel %d / %d","Niveau %d / %d"
"  +%d Stufen  ·  %s %s","  +%d levels  ·  %s %s","  +%d niveles  ·  %s %s","  +%d niveaux  ·  %s %s"
"Kaufmenge","Buy amount","Cantidad","Quantité"
"Einzeln","Single","Individual","Unitaire"
"Max","Max","Máx","Max"
"%d Geraden\n%d Kurven","%d straights\n%d curves","%d rectas\n%d curvas","%d lignes droites\n%d virages"
"Geraden %d → %d\nKurven %d → %d","Straights %d → %d\nCurves %d → %d","Rectas %d → %d\nCurvas %d → %d","Lignes droites %d → %d\nVirages %d → %d"

# ── NEUE ERFOLGE (zur Prüfung, Namen mit *) ───────────────────────────────────
"*Stilbewusst","*Style-conscious","*Con estilo","*Sens du style"
"Kaufe deine erste Lackierung oder dein erstes Muster.","Buy your first paint or pattern.","Compra tu primera pintura o tu primer patrón.","Achète ta première peinture ou ton premier motif."
"*Mustersammler","*Pattern collector","*Coleccionista de patrones","*Collectionneur de motifs"
"Besitze alle Muster in der Garage.","Own all patterns in the garage.","Posee todos los patrones del garaje.","Possède tous les motifs du garage."
"*Lacksammler","*Paint collector","*Coleccionista de pinturas","*Collectionneur de peintures"
"Besitze alle Farben in der Garage.","Own all colors in the garage.","Posee todos los colores del garaje.","Possède toutes les couleurs du garage."
"*Billionenrunde","*Trillion lap","*Vuelta del billón","*Tour du billion"
"Verdiene 1.000.000.000.000 mit EINEM Auto in einer Runde.","Earn 1,000,000,000,000 with ONE car in a single lap.","Gana 1 000 000 000 000 con UN coche en una sola vuelta.","Gagne 1 000 000 000 000 avec UNE voiture en un seul tour."
"*Billiardär","*Quadrillionaire","*Cuatrillonario","*Billardaire"
"Besitze 1.000.000.000.000.000 Währung.","Own 1,000,000,000,000,000 currency.","Posee 1 000 000 000 000 000 de moneda.","Possède 1 000 000 000 000 000 de monnaie."
"*Unsterblich","*Immortal","*Inmortal","*Immortel"
"Führe 25 Prestiges durch.","Perform 25 prestiges.","Realiza 25 prestigios.","Effectue 25 prestiges."

# ── Sprachwarnung (auto-generierte Übersetzung) ───────────────────────────────
"ACHTUNG","ATTENTION","ATENCIÓN","ATTENTION"
"Die Übersetzung dieser Sprache wurde automatisch erstellt und kann deshalb Fehler oder ungenaue Formulierungen enthalten.\n\nFalls dir etwas auffällt, melde es uns bitte im Hauptmenü unten rechts über „Report a bug“ – so können wir die Übersetzungen weiter verbessern.","The translation for this language was generated automatically and may therefore contain mistakes or inaccurate wording.\n\nIf you notice anything, please report it in the main menu at the bottom right via “Report a bug” – this helps us keep improving the translations.","La traducción de este idioma se generó automáticamente y, por tanto, puede contener errores o formulaciones imprecisas.\n\nSi notas algo, comunícanoslo en el menú principal, abajo a la derecha, mediante «Report a bug»; así podremos seguir mejorando las traducciones.","La traduction de cette langue a été générée automatiquement et peut donc contenir des erreurs ou des formulations imprécises.\n\nSi tu remarques quelque chose, signale-le-nous dans le menu principal, en bas à droite, via « Report a bug » ; nous pourrons ainsi continuer à améliorer les traductions."
